food_code,name,group,kcal,protein_g,fat_g,satfat_g,carbs_g,sugars_g,fibre_g,salt_g
15-662,"Aubergine, stuffed with rice",DR,86,1.9,2.1,0.22,15.9,6.0,2.1,0.018
15-663,"Aubergine, stuffed with vegetables, cheese topping",DR,119,5.0,9.7,3.48,3.6,3.2,2.2,0.272
14-039,"Avocado, Fuerte, flesh only",FA,189,2.1,19.3,3.5,1.9,0.5,3.4,0.022
14-040,"Avocado, Fuerte, flesh only, weighed with skin and stone",FA,134,1.5,13.7,2.5,1.3,0.4,2.4,0.015
14-386,"Avocado, Hass, flesh only",FA,171,1.8,17.4,4.15,1.8,0.4,3.1,0.018
14-387,"Avocado, Hass, flesh only, weighed with skin and stone",FA,118,1.3,12.0,2.86,1.3,0.3,2.1,0.012
16-001,"Ayr, raw",JA,75,15.9,1.3,0.0,0.0,0.0,0.0,0.0
14-043,"Babaco, flesh only",FA,17,1.1,0.1,0.0,3.1,3.1,0.0,0.005
16-169,"Bacha, raw",JC,123,18.1,5.6,0.0,0.0,0.0,0.0,0.0
19-644,"Bacon loin steaks, lean, grilled",MAA,158,28.9,4.3,1.55,1.1,1.1,0.0,2.475
19-645,"Bacon rashers, back, dry-cured, grilled",MAA,257,28.4,15.9,6.0,0.0,0.0,0.0,4.325
19-498,"Bacon rashers, back, dry-fried",MAA,295,24.2,22.0,8.3,0.0,0.0,0.0,3.525
19-499,"Bacon rashers, back, fat trimmed, grilled",MAA,214,25.7,12.3,4.6,0.0,0.0,0.0,3.575
19-646,"Bacon rashers, back, fat trimmed, raw",MAA,136,18.8,6.7,2.5,0.0,0.0,0.0,2.5
19-500,"Bacon rashers, back, grilled",MAA,287,23.2,21.6,8.1,0.0,0.0,0.0,3.475
19-501,"Bacon rashers, back, grilled crispy",MAA,313,36.0,18.8,7.1,0.0,0.0,0.0,5.0
19-502,"Bacon rashers, back, microwaved",MAA,307,24.2,23.3,8.8,0.0,0.0,0.0,4.325
19-497,"Bacon rashers, back, raw",MAA,215,16.5,16.5,6.2,0.0,0.0,0.0,2.85
19-009,"Bacon rashers, back, reduced salt, grilled",MAA,282,24.1,20.6,7.8,0.0,0.0,0.0,2.825
19-659,"Bacon rashers, back, smoked, grilled",MAA,293,23.4,22.1,8.3,0.0,0.0,0.0,3.475
19-647,"Bacon rashers, back, sweetcure, grilled",MAA,258,23.8,17.4,6.6,1.6,1.6,0.0,3.475
19-660,"Bacon rashers, back, 'tendersweet', grilled",MAA,213,26.4,11.9,4.5,0.0,0.0,0.0,3.475
19-648,"Bacon rashers, middle, fried in corn oil",MAA,350,23.4,28.5,9.8,0.0,0.0,0.0,3.475
19-503,"Bacon rashers, middle, grilled",MAA,307,24.8,23.1,8.4,0.0,0.0,0.0,3.475
19-649,"Bacon rashers, middle, raw",MAA,241,15.2,20.0,7.3,0.0,0.0,0.0,2.625
19-504,"Bacon rashers, streaky, fried in corn oil",MAA,335,23.8,26.6,9.1,0.0,0.0,0.0,4.2
19-018,"Bacon rashers, streaky, grilled",MAA,337,23.8,26.9,9.8,0.0,0.0,0.0,4.2
19-016,"Bacon rashers, streaky, raw",MAA,276,15.8,23.6,8.2,0.0,0.0,0.0,3.15
19-537,"Bacon, fat only, average, cooked",MAA,692,9.3,72.8,28.5,0.0,0.0,0.0,1.85
19-650,"Bacon, fat only, average, raw",MAA,747,4.8,80.9,31.5,0.0,0.0,0.0,1.05
11-970,"Bagels, plain",AP,273,10.0,1.8,0.0,57.8,4.8,3.0,1.0
13-578,"Baked beans, canned in barbecue sauce",DB,77,5.3,0.4,0.0,14.0,4.8,4.9,0.65
13-532,"Baked beans, canned in tomato sauce",DB,81,5.0,0.5,0.09,15.0,4.8,4.9,0.652
13-535,"Baked beans, canned in tomato sauce, reduced sugar, reduced salt",DB,75,5.0,0.5,0.09,13.5,3.3,4.9,0.475
13-579,"Baked beans, canned in tomato sauce, with pork sausages",DB,98,6.0,4.5,0.0,11.0,4.0,3.3,0.65
