food_code,name,group,kcal,protein_g,fat_g,satfat_g,carbs_g,sugars_g,fibre_g,salt_g
13-219,"Celeriac, raw",DG,18,1.2,0.4,0.0,2.3,1.8,3.7,0.228
13-810,Celery seeds,H,0,18.1,25.3,2.2,0.0,0.0,0.0,0.4
13-637,"Celery, boiled in unsalted water",DG,5,0.3,0.1,0.0,0.8,0.8,0.8,0.108
13-636,"Celery, raw",DG,9,0.5,0.1,0.0,1.4,1.4,1.5,0.192
11-819,"Cereal bars, with fruit and/or nuts, no chocolate, unfortified",AM,354,5.6,10.7,3.85,62.9,34.3,6.2,0.162
11-818,"Cereal bars, with fruit and/or nuts, with chocolate, unfortified",AM,436,6.0,18.3,8.43,66.0,40.7,5.1,0.552
11-987,"Chapatis, made with fat, retail",AF,328,8.1,12.8,0.0,48.3,1.8,0.0,0.75
11-459,"Chapatis, made without fat",AF,202,7.3,1.0,0.1,43.7,1.6,0.0,0.3
13-224,"Chard, Swiss, boiled in unsalted water",DG,20,1.9,0.1,0.0,3.2,0.4,0.0,0.45
13-223,"Chard, Swiss, raw",DG,19,1.8,0.2,0.0,2.9,0.6,0.0,0.525
11-997,"Cheese and onion rolls, pastry, retail",AT,327,8.2,20.0,8.97,30.4,3.0,2.9,0.775
12-561,"Cheese pudding, homemade",BV,170,10.6,9.3,4.95,11.7,3.1,0.3,0.68
17-665,"Cheese sauce, made with semi-skimmed milk, homemade",WCD,182,8.2,12.8,8.01,9.0,4.2,0.7,0.532
17-773,"Cheese sauce, made with skimmed milk, homemade",WCD,172,8.2,11.6,7.23,9.1,4.3,0.2,0.538
17-775,"Cheese sauce, made with whole milk, homemade",WCD,197,8.2,14.6,9.12,8.9,4.1,0.2,0.53
17-666,"Cheese sauce, packet mix, made up with semi-skimmed milk, homemade",WCD,106,5.8,5.2,3.26,9.7,5.3,0.2,0.955
17-780,"Cheese sauce, packet mix, made up with skimmed milk, homemade",WCD,79,5.6,2.4,0.0,9.2,5.3,0.0,1.13
17-781,"Cheese sauce, packet mix, made up with whole milk, homemade",WCD,108,5.5,5.7,0.0,9.0,5.1,0.0,1.125
12-540,"Cheese spread, plain",BL,237,11.3,18.6,12.91,6.5,6.5,0.0,1.825
12-537,"Cheese spread, plain, reduced fat",BL,154,15.0,7.2,4.56,7.9,7.3,0.0,1.875
11-824,"Cheese straws/twists, retail",AM,510,14.1,30.3,17.54,48.3,1.6,2.5,2.435
12-491,"Cheese, Brie, rind only",BL,304,16.5,26.4,0.0,0.0,0.0,0.0,1.422
12-344,"Cheese, Brie, with outer rind removed",BL,343,20.3,29.1,18.2,0.0,0.0,0.0,1.39
12-132,"Cheese, Caerphilly",BL,375,23.2,31.3,19.6,0.1,0.1,0.0,1.2
12-345,"Cheese, Camembert",BL,290,21.5,22.7,14.2,0.0,0.0,0.0,1.512
12-548,"Cheese, Cheddar type, '30% less fat'",BL,314,27.9,22.1,13.8,0.8,0.1,0.0,1.8
12-348,"Cheese, Cheddar type, half fat",BL,273,32.7,15.8,9.9,0.0,0.0,0.0,1.675
12-346,"Cheese, Cheddar, English",BL,416,25.4,34.9,21.68,0.1,0.1,0.0,1.808
12-539,"Cheese, cottage, plain",BL,103,9.4,6.0,3.24,3.1,3.1,0.0,0.625
12-550,"Cheese, cottage, plain, reduced fat",BL,68,10.6,1.5,0.96,3.3,3.3,0.0,0.525
12-354,"Cheese, Danish blue",BL,342,20.5,28.9,19.13,0.0,0.0,0.0,3.05
12-152,"Cheese, Derby",BL,402,24.2,33.9,21.2,0.1,0.1,0.0,1.45
12-494,"Cheese, Dolcelatte, rind removed",BL,394,18.0,35.8,22.23,0.0,0.0,0.0,2.258
12-487,"Cheese, Double Gloucester",BL,413,24.4,35.0,21.93,0.1,0.1,0.0,1.682
12-355,"Cheese, Edam",BL,341,26.7,26.0,15.8,0.0,0.0,0.0,2.49
12-493,"Cheese, Emmental",BL,399,30.2,30.9,20.59,0.0,0.0,0.0,0.468
12-525,"Cheese, Feta",BL,250,15.6,20.2,13.7,1.5,1.5,0.0,2.5
12-357,"Cheese, goats milk, full fat, soft, white rind",BL,320,21.1,25.8,17.91,1.0,1.0,0.0,1.502
12-358,"Cheese, Gouda",BL,377,25.3,30.6,20.33,0.0,0.0,0.0,2.312
12-164,"Cheese, Gruyere",BL,409,27.2,33.3,20.8,0.0,0.0,0.0,1.675
12-496,"Cheese, Halloumi",BL,313,23.9,23.5,16.58,1.7,1.7,0.0,3.0
12-604,"Cheese, hard, average",BL,411,24.9,34.5,21.57,0.1,0.1,0.0,1.718
12-488,"Cheese, Lancashire",BL,382,24.1,31.7,21.04,0.1,0.1,0.0,1.438
12-490,"Cheese, Mascarpone",BL,435,4.6,44.5,29.48,4.3,4.3,0.0,0.175
12-360,"Cheese, Mozzarella, fresh",BL,257,18.6,20.3,13.75,0.0,0.0,0.0,0.988
12-495,"Cheese, Paneer",BL,328,26.0,24.5,15.43,0.9,0.9,0.0,0.048
12-526,"Cheese, Parmesan, fresh",BL,415,36.2,29.7,19.25,0.9,0.9,0.0,1.65
12-492,"Cheese, Port Salut, St Paulin type",BL,333,25.5,25.7,18.06,0.0,0.0,0.0,1.748
12-527,"Cheese, processed, plain",BL,297,17.8,23.0,14.32,5.0,5.0,0.0,2.5
12-549,"Cheese, processed, slices, reduced fat",BL,190,16.7,9.6,5.85,9.7,7.6,0.0,2.025
12-173,"Cheese, processed, smoked",BL,303,20.5,24.5,15.1,0.2,0.2,0.0,3.175
12-174,"Cheese, Quark",BL,74,14.6,0.0,0.0,4.0,4.0,0.0,0.112
12-485,"Cheese, Red Leicester",BL,403,25.0,33.6,21.1,0.1,0.1,0.0,1.662
12-175,"Cheese, Red Windsor",BL,401,24.4,33.7,21.1,0.0,0.0,0.0,1.725
12-176,"Cheese, Ricotta",BL,144,9.4,11.0,6.9,2.0,2.0,0.0,0.25
12-177,"Cheese, Roquefort",BL,375,19.7,32.9,20.7,0.0,0.0,0.0,4.175
12-178,"Cheese, Sage Derby",BL,402,24.2,33.9,21.2,0.1,0.1,0.0,1.5
12-551,"Cheese, spreadable, full fat, soft, white",BL,252,5.3,24.4,15.97,3.0,3.0,0.0,0.65
12-538,"Cheese, spreadable, medium fat, soft, white",BL,153,9.8,11.2,7.35,3.5,3.5,0.0,0.675
12-541,"Cheese, spreadable, soft white, low fat",BL,99,11.9,3.6,2.4,5.0,5.0,0.0,0.65
12-367,"Cheese, Stilton, blue",BL,410,23.7,35.0,23.02,0.1,0.1,0.0,1.97
12-181,"Cheese, Stilton, white",BL,362,19.9,31.3,19.6,0.1,0.1,0.0,1.925
12-489,"Cheese, Wensleydale",BL,381,23.7,31.8,19.7,0.1,0.1,0.0,1.1
12-486,"Cheese, White Cheshire",BL,380,23.4,31.8,21.23,0.1,0.1,0.0,1.23
12-368,"Cheese, white, average",BL,381,23.7,31.8,21.1,0.1,0.1,0.0,1.255
12-395,"Cheesecake, fruit, frozen",BR,294,4.0,16.2,9.44,35.2,25.0,1.0,0.365
12-542,"Cheesecake, fruit, individual",BR,264,6.1,12.3,7.54,34.5,25.4,1.6,0.225
12-562,"Cheesecake, homemade",BR,325,6.2,22.8,13.18,25.4,15.5,0.6,0.665
11-1043,"Chelsea buns, homemade",AP,361,7.8,12.5,4.08,57.8,21.0,1.6,0.348
14-382,"Cherries, flesh and skin, raw",FA,63,1.2,0.4,0.08,14.6,14.6,1.9,0.0
14-383,"Cherries, flesh and skin, raw, weighed with stones",FA,58,1.1,0.4,0.07,13.4,13.4,1.7,0.0
14-335,"Cherries, glace",FA,294,0.4,0.0,0.0,78.1,0.0,0.9,0.068
14-063,"Cherries, stewed with sugar",FA,82,0.7,0.1,0.0,21.0,21.0,0.7,0.0
14-064,"Cherries, stewed with sugar, weighed with stones",FA,71,0.6,0.1,0.0,18.1,18.1,0.6,0.0
14-065,"Cherries, stewed without sugar",FA,42,0.8,0.1,0.0,10.1,10.1,0.8,0.0
14-066,"Cherries, stewed without sugar, weighed with stones",FA,36,0.6,0.1,0.0,8.6,8.6,0.7,0.0
14-069,"Cherries, West Indian, flesh only",FA,24,0.4,0.4,0.0,5.0,5.0,0.0,0.012
13-811,"Chervil, dried",H,237,23.2,3.9,0.0,37.8,0.0,0.0,0.208
14-815,"Chestnuts, dried",GA,319,3.7,5.1,0.9,69.0,13.2,7.7,0.052
14-813,"Chestnuts, kernel only, raw",GA,170,2.0,2.7,0.5,36.6,7.0,4.1,0.028
14-814,"Chestnuts, kernel only, raw, weighed with shells",GA,140,1.6,2.2,0.4,30.4,5.8,3.4,0.022
17-782,"Chevda/chevra/chewra, homemade",SNC,487,18.6,31.8,4.71,35.5,0.0,4.2,0.285
18-504,"Chicken breast/steak, coated, baked",MCA,234,17.7,11.6,1.78,15.8,1.1,0.8,1.165
19-560,"Chicken chasseur, homemade",MR,78,13.5,1.5,0.25,2.3,1.1,0.2,0.332
19-663,"Chicken chasseur, homemade, weighed with bone",MR,69,12.0,1.3,0.22,2.0,1.0,0.2,0.295
19-561,"Chicken fricassee, homemade",MR,115,10.0,6.1,2.4,2.8,1.5,0.5,0.658
19-562,"Chicken fricassee, reduced fat, homemade",MR,101,10.2,4.2,1.19,3.2,2.0,0.5,0.658
19-563,"Chicken in white sauce, made with semi-skimmed milk",MR,156,17.0,7.7,3.42,5.0,2.3,0.1,0.222
19-564,"Chicken in white sauce, made with whole milk",MR,168,17.0,9.0,4.22,5.2,2.2,0.1,0.228
18-501,"Chicken pieces, coated, takeaway",MCA,267,18.5,14.1,2.32,17.6,0.0,1.3,1.338
18-500,"Chicken portions, battered, deep fried, takeaway",MCA,233,24.8,12.8,3.07,4.8,0.0,2.9,1.192
19-323,"Chicken satay, takeaway",MR,191,21.7,10.3,3.02,3.0,1.6,2.0,1.532
19-538,Chicken slices,MI,114,23.2,1.5,0.4,2.0,0.2,0.3,1.45
17-697,"Chicken soup, cream of, canned, condensed, as served",WAC,43,1.3,2.9,0.4,3.0,0.7,0.0,0.625
19-541,"Chicken wings, marinated, meat and skin, barbecued",MR,274,27.4,16.6,4.6,4.1,3.6,0.5,0.975
19-652,"Chicken wings, marinated, meat and skin, barbecued, weighed with bone",MR,179,17.8,10.8,3.0,2.7,2.3,0.3,0.625
18-308,"Chicken, breast, casseroled, meat and skin",MCA,184,26.9,8.5,2.4,0.0,0.0,0.0,0.15
18-309,"Chicken, breast, casseroled, meat and skin, weighed with bone",MCA,165,24.2,7.6,2.1,0.0,0.0,0.0,0.138
18-307,"Chicken, breast, casseroled, meat only",MCA,160,28.4,5.2,1.5,0.0,0.0,0.0,0.15
18-324,"Chicken, breast, grilled with skin, meat only",MCA,147,29.8,3.1,0.9,0.0,0.0,0.0,0.15
18-323,"Chicken, breast, grilled without skin, meat only",MCA,148,32.0,2.2,0.6,0.0,0.0,0.0,0.138
18-325,"Chicken, breast, grilled, meat and skin",MCA,173,28.9,6.4,0.9,0.0,0.0,0.0,0.152
18-326,"Chicken, breast, strips, stir-fried in corn oil",MCA,161,29.7,4.6,0.0,0.0,0.0,0.0,0.152
18-299,"Chicken, corn-fed, raw, dark meat only",MCA,143,19.5,7.2,2.1,0.0,0.0,0.0,0.2
18-300,"Chicken, corn-fed, raw, light meat only",MCA,118,23.0,2.8,0.8,0.0,0.0,0.0,0.225
18-301,"Chicken, corn-fed, raw, meat only",MCA,129,21.4,4.8,1.4,0.0,0.0,0.0,0.212
18-302,"Chicken, corn-fed, raw, skin only",MCA,514,10.1,52.7,15.2,0.0,0.0,0.0,0.125
18-343,"Chicken, corn-fed, roasted, dark meat only",MCA,185,24.0,9.8,2.8,0.0,0.0,0.0,0.238
18-344,"Chicken, corn-fed, roasted, light meat only",MCA,141,25.8,4.2,1.2,0.0,0.0,0.0,0.225
18-345,"Chicken, corn-fed, roasted, meat only",MCA,164,24.9,7.2,2.1,0.0,0.0,0.0,0.225
18-289,"Chicken, dark meat, raw",MCA,109,20.9,2.8,0.8,0.0,0.0,0.0,0.225
18-329,"Chicken, dark meat, roasted",MCA,196,24.4,10.9,2.89,0.0,0.0,0.0,0.25
18-311,"Chicken, drumsticks, casseroled, meat and skin",MCA,217,22.3,14.2,3.8,0.0,0.0,0.0,0.188
18-312,"Chicken, drumsticks, casseroled, meat and skin, weighed with bone",MCA,141,14.5,9.2,2.6,0.0,0.0,0.0,0.125
18-310,"Chicken, drumsticks, casseroled, meat only",MCA,185,24.3,9.7,2.6,0.0,0.0,0.0,0.175
18-335,"Chicken, drumsticks, roasted, meat and skin",MCA,185,25.8,9.1,2.5,0.0,0.0,0.0,0.325
18-336,"Chicken, drumsticks, roasted, meat and skin, weighed with bone",MCA,116,16.2,5.7,1.5,0.0,0.0,0.0,0.2
18-334,"Chicken, drumsticks, roasted, meat only",MCA,152,26.6,5.1,1.4,0.0,0.0,0.0,0.425
18-314,"Chicken, leg quarter, casseroled, meat and skin",MCA,217,22.9,13.9,3.8,0.0,0.0,0.0,0.175
18-315,"Chicken, leg quarter, casseroled, meat and skin, weighed with bone",MCA,137,14.4,8.8,2.4,0.0,0.0,0.0,0.112
18-313,"Chicken, leg quarter, casseroled, meat only",MCA,176,25.0,8.4,2.3,0.0,0.0,0.0,0.188
18-293,"Chicken, leg quarter, raw, meat and skin",MCA,193,18.3,13.3,3.6,0.0,0.0,0.0,0.2
18-294,"Chicken, leg quarter, raw, meat and skin, weighed with bone",MCA,133,12.6,9.2,2.5,0.0,0.0,0.0,0.138
18-337,"Chicken, leg quarter, roasted, meat and skin",MCA,236,20.9,16.9,4.6,0.0,0.0,0.0,0.238
18-338,"Chicken, leg quarter, roasted, meat and skin, weighed with bone",MCA,120,10.7,8.6,2.3,0.0,0.0,0.0,0.125
18-290,"Chicken, light meat, raw",MCA,106,24.0,1.1,0.3,0.0,0.0,0.0,0.15
18-330,"Chicken, light meat, roasted",MCA,153,30.2,3.6,1.02,0.0,0.0,0.0,0.15
18-488,"Chicken, meat, average, raw",MCA,108,22.3,2.1,0.6,0.0,0.0,0.0,0.192
18-331,"Chicken, meat, average, roasted",MCA,177,27.3,7.5,2.1,0.0,0.0,0.0,0.2
18-327,"Chicken, portions, not coated, deep-fried, meat and skin",MCA,259,26.9,16.8,4.6,0.0,0.0,0.0,0.375
18-328,"Chicken, portions, not coated, deep-fried, meat and skin, weighed with bone",MCA,179,18.6,11.6,3.2,0.0,0.0,0.0,0.275
18-316,"Chicken, skin, casseroled",MCA,407,13.4,39.3,11.0,0.0,0.0,0.0,0.138
18-292,"Chicken, skin, raw",MCA,474,9.7,48.3,13.6,0.0,0.0,0.0,0.125
18-332,"Chicken, skin, roasted/grilled, dry",MCA,501,21.5,46.1,12.9,0.0,0.0,0.0,0.2
18-333,"Chicken, skin, roasted/grilled, moist",MCA,452,17.0,42.6,12.0,0.0,0.0,0.0,0.2
19-569,"Chicken, stir-fried with mushrooms and cashew nuts, homemade",MR,160,18.4,7.0,1.31,4.8,2.2,0.9,0.805
19-570,"Chicken, stir-fried with peppers in black bean sauce, homemade",MR,124,19.0,4.2,0.0,2.7,2.4,0.6,0.915
19-521,"Chicken, stir-fried with rice and vegetables, retail, reheated",MR,132,6.5,4.6,0.0,17.1,3.9,1.3,0.0
18-317,"Chicken, thighs, casseroled, meat and skin",MCA,233,21.5,16.3,4.4,0.0,0.0,0.0,0.175
18-318,"Chicken, thighs, casseroled, meat and skin, weighed with bone",MCA,193,17.8,13.5,3.7,0.0,0.0,0.0,0.15
18-319,"Chicken, thighs, casseroled, meat only, diced",MCA,180,25.6,8.6,2.4,0.0,0.0,0.0,0.1
18-303,"Chicken, whole, corn-fed, raw, meat and skin",MCA,218,18.8,15.9,4.6,0.0,0.0,0.0,0.2
18-304,"Chicken, whole, corn-fed, raw, meat and skin, weighed with bone",MCA,142,12.2,10.3,3.0,0.0,0.0,0.0,0.125
18-346,"Chicken, whole, corn-fed, roasted, meat and skin",MCA,215,24.0,13.2,3.8,0.0,0.0,0.0,0.225
18-347,"Chicken, whole, corn-fed, roasted, meat and skin, weighed with bone",MCA,129,14.4,7.9,2.7,0.0,0.0,0.0,0.138
18-297,"Chicken, whole, raw, meat and skin",MCA,201,19.1,13.8,3.8,0.0,0.0,0.0,0.175
18-298,"Chicken, whole, raw, meat and skin, weighed with bone",MCA,131,12.4,9.0,2.5,0.0,0.0,0.0,0.112
18-341,"Chicken, whole, roasted, meat and skin",MCA,218,26.3,12.5,3.4,0.0,0.0,0.0,0.2
18-342,"Chicken, whole, roasted, meat and skin, weighed with bone",MCA,138,16.6,7.9,2.2,0.0,0.0,0.0,0.125
18-321,"Chicken, wing quarter, casseroled, meat and skin",MCA,210,24.4,12.5,3.5,0.0,0.0,0.0,0.15
18-322,"Chicken, wing quarter, casseroled, meat and skin, weighed with bone",MCA,141,16.3,8.4,2.3,0.0,0.0,0.0,0.1
18-320,"Chicken, wing quarter, casseroled, meat only",MCA,164,26.9,6.3,1.7,0.0,0.0,0.0,0.162
18-295,"Chicken, wing quarter, raw, meat and skin",MCA,193,20.3,12.4,3.5,0.0,0.0,0.0,0.15
18-296,"Chicken, wing quarter, raw, meat and skin, weighed with bone",MCA,127,13.4,8.2,2.3,0.0,0.0,0.0,0.1
18-339,"Chicken, wing quarter, roasted, meat and skin",MCA,226,24.8,14.1,3.9,0.0,0.0,0.0,0.25
18-340,"Chicken, wing quarter, roasted, meat and skin, weighed with bone",MCA,120,13.1,7.5,2.1,0.0,0.0,0.0,0.138
19-469,"Chicken/turkey pasties/slices, puff pastry",MI,289,8.1,18.5,9.17,23.9,1.2,2.9,0.9
18-503,"Chicken/turkey pieces, coated, baked",MCA,256,14.4,13.9,2.11,19.6,1.1,2.3,0.9
13-586,"Chicory, pale variety, boiled in unsalted water",DG,7,0.6,0.3,0.1,2.1,0.5,1.1,0.002
13-225,"Chicory, pale variety, raw",DG,11,0.5,0.6,0.2,2.8,0.7,0.9,0.002
19-478,"Chilli con carne, homemade",MR,120,9.2,7.5,2.9,4.4,2.9,1.1,0.252
19-208,"Chilli con carne, retail, reheated",MR,96,7.7,4.3,1.9,7.1,2.7,1.4,0.775
19-527,"Chilli con carne, retail, reheated, with rice",MR,116,5.8,2.7,1.17,18.1,1.6,0.8,0.47
13-873,Chilli powder,H,0,13.5,14.3,2.46,0.0,7.2,34.8,10.0
17-719,Chilli sauce,WC,40,1.3,0.8,0.0,7.3,6.9,2.2,3.125
15-719,"Chilli, bean and lentil, homemade",DR,92,5.3,2.5,0.23,13.2,3.5,0.0,0.102
15-720,"Chilli, Quorn, homemade",DR,83,5.3,3.6,0.39,6.9,3.5,2.6,0.252
15-640,"Chilli, vegetable, homemade",DR,49,2.5,0.8,0.14,8.6,3.8,2.6,0.318
13-813,Chinese 5 spice,H,0,9.5,8.7,0.0,0.0,0.0,0.0,0.158
16-011,"Chital, raw",JA,90,18.1,1.9,0.0,0.0,0.0,0.0,0.085
13-887,"Chives, fresh",H,27,3.3,0.7,0.15,1.9,1.9,2.5,0.008
15-721,"Cho cho fritters, fried in rapeseed oil, homemade",DR,192,4.7,12.4,2.14,16.6,2.9,0.7,0.122
13-228,"Cho cho, boiled in unsalted water",DG,14,0.5,0.1,0.0,2.9,2.5,0.9,0.01
13-227,"Cho cho, raw",DG,17,0.7,0.1,0.0,3.7,3.1,1.1,0.012
17-658,Chocolate covered bar with caramel and cereal,SEA,501,5.2,25.8,16.26,66.2,46.4,1.9,0.402
17-657,Chocolate covered caramel and biscuit fingers,SEA,495,5.0,23.6,13.52,70.0,45.4,2.5,0.478
11-812,Chocolate covered wafer biscuit,AM,509,5.5,28.6,17.5,61.1,45.1,2.7,0.225
17-687,Chocolate nut spread,SC,549,6.2,33.0,9.34,60.5,59.7,3.0,0.125
12-518,Chocolate nut sundae,BP,271,2.6,15.0,8.94,33.5,29.9,0.0,0.09
17-659,Chocolate spread,SC,575,3.3,37.7,8.13,59.4,59.4,2.0,0.145
17-650,"Chocolate, dark, with crème or mint fondant centres",SEA,431,3.7,16.3,9.8,71.9,62.9,4.7,0.015
17-690,"Chocolate, fancy and filled",SEA,447,4.9,21.3,11.3,62.9,60.0,1.3,0.22
17-648,"Chocolate, milk",SEA,519,7.3,31.1,18.71,56.0,56.0,2.3,0.222
17-491,"Chocolate, plain",SEA,510,5.0,28.0,16.8,63.5,62.6,2.5,0.015
17-091,"Chocolate, white",SEA,529,8.0,30.9,18.4,58.3,58.3,0.0,0.275
19-516,Chorizo,MI,395,24.0,32.2,12.0,2.4,1.1,1.0,3.5
11-1050,"Choux buns, homemade",AP,395,5.3,34.1,18.23,17.9,0.9,0.8,0.305
19-519,"Chow mein, beef, retail, reheated",MR,136,6.7,6.0,1.3,14.7,2.4,1.8,0.5
19-321,"Chow mein, chicken, takeaway",MR,147,8.5,7.2,1.17,12.7,0.3,1.5,1.165
19-614,"Chow mein, pork and chicken, homemade",MR,72,9.2,1.9,0.76,5.8,1.5,0.6,0.905
17-784,"Chutney, apple, homemade",WCG,190,0.8,0.2,0.0,49.2,48.4,0.7,0.028
17-343,"Chutney, mango, sweet",WE,189,0.7,0.1,0.0,48.3,45.7,0.0,3.25
17-345,"Chutney, tomato",WCG,128,1.2,0.2,0.0,31.0,28.1,1.4,1.025
17-785,"Chutney, tomato, homemade",WE,166,1.0,0.2,0.02,40.8,40.2,1.3,0.02
17-222,"Cider, dry",QC,36,0.0,0.0,0.0,2.6,2.6,0.0,0.018
17-223,"Cider, low alcohol",QC,17,0.0,0.0,0.0,3.6,3.6,0.0,0.008
17-822,"Cider, strong",QC,68,0.0,0.0,0.0,7.3,7.3,0.0,0.005
17-224,"Cider, sweet",QC,42,0.0,0.0,0.0,4.3,4.3,0.0,0.018
13-874,"Cinnamon, ground",H,0,4.0,1.2,0.35,0.0,2.2,53.1,0.025
14-326,"Citrus fruit, soft/easy peelers, flesh only",FA,41,0.7,0.2,0.04,9.6,9.6,1.5,0.002
14-348,"Citrus fruit, soft/easy peelers, flesh only, weighed with peel and pips",FA,32,0.5,0.2,0.03,7.5,7.5,1.2,0.002
13-816,"Cloves, dried",H,0,6.0,20.1,4.4,0.0,0.0,0.0,0.6
16-252,"Cockles, boiled",JM,53,12.0,0.6,0.2,0.0,0.0,0.0,1.225
15-722,"Coco fritters, fried in rapeseed oil, homemade",DR,322,4.7,22.5,0.0,26.1,0.9,1.9,0.532
17-002,Cocoa butter,OE,896,0.0,99.5,59.0,0.0,0.0,0.0,0.0
12-545,Cocoa powder,BH,312,18.5,21.7,12.8,11.5,0.0,12.1,0.0
12-563,"Cocoa powder, made up with semi-skimmed milk",BH,58,3.7,2.0,1.27,6.7,6.5,0.2,0.102
12-564,"Cocoa powder, made up with skimmed milk",BH,46,3.7,0.6,0.36,6.7,6.5,0.2,0.105
12-565,"Cocoa powder, made up with whole milk",BH,74,3.6,3.9,2.44,6.6,6.3,0.2,0.102
17-786,"Coconut ice, homemade",SEC,369,1.8,12.3,10.54,67.1,67.1,2.6,0.042
14-820,Coconut milk,GA,22,0.3,0.3,0.2,4.9,4.9,0.0,0.275
14-890,"Coconut milk, reduced fat, retail",GA,79,0.7,7.7,6.35,2.0,1.1,0.1,0.0
14-889,"Coconut milk, retail",GA,169,1.1,16.9,14.64,3.3,2.0,0.4,0.0
14-873,"Coconut, desiccated",GA,604,5.6,62.0,53.4,6.4,6.4,13.7,0.07
14-816,"Coconut, flesh only, fresh",GA,351,3.2,36.0,31.39,3.7,3.7,7.3,0.042
16-490,"Cod, dried, salted, boiled",JA,138,32.5,0.9,0.2,0.0,0.0,0.0,1.0
16-373,"Cod, flesh only, baked",JA,100,23.9,0.5,0.12,0.0,0.0,0.0,0.228
16-465,"Cod, flesh only, baked, weighed with bones and skin",JA,89,21.3,0.4,0.11,0.0,0.0,0.0,0.202
16-466,"Cod, flesh only, grilled",JA,106,24.6,0.8,0.23,0.0,0.0,0.0,0.32
16-374,"Cod, flesh only, microwaved",JA,98,23.5,0.4,0.08,0.0,0.0,0.0,0.27
16-015,"Cod, flesh only, poached in milk, butter and salt added",JA,94,20.9,1.1,0.3,0.0,0.0,0.0,0.275
16-016,"Cod, flesh only, poached in milk, butter and salt added, weighed with bones and skin",JA,81,18.2,1.0,0.3,0.0,0.0,0.0,0.24
16-372,"Cod, flesh only, raw",JA,75,17.5,0.6,0.16,0.0,0.0,0.0,0.228
16-491,"Cod, flesh only, salted and smoked, raw",JA,79,18.3,0.6,0.1,0.0,0.0,0.0,1.25
16-467,"Cod, flesh only, steamed",JA,98,22.8,0.8,0.21,0.0,0.0,0.0,0.318
16-468,"Cod, flesh only, steamed, weighed with bones and skin",JA,86,19.9,0.7,0.18,0.0,0.0,0.0,0.275
16-369,"Cod, in batter, baked",JA,229,12.3,11.8,1.71,19.7,2.0,1.5,1.06
16-427,"Cod, in batter, fried in dripping, takeaway",JA,240,16.8,14.7,8.21,10.7,1.0,0.5,0.438
16-426,"Cod, in batter, fried in rapeseed oil",JA,285,12.6,17.9,2.12,19.5,1.4,1.5,1.06
16-428,"Cod, in batter, fried in sunflower oil, takeaway",J,240,16.8,14.7,1.72,19.5,1.0,0.5,0.438
16-368,"Cod, in batter, fried, takeaway",JA,240,16.8,14.7,7.58,10.7,1.0,0.5,0.438
16-370,"Cod, in breadcrumbs, baked",JA,204,13.7,8.3,1.33,19.8,0.9,1.9,0.825
17-163,"Coffee and chicory essence, with water",PA,9,0.1,0.0,0.0,2.4,2.3,0.0,0.008
17-632,"Coffee, cappuccino, latte",P,27,2.0,0.8,0.52,3.2,2.4,0.0,0.062
17-833,"Coffee, infusion, average",PAC,2,0.2,0.0,0.0,0.3,0.3,0.0,0.0
17-157,"Coffee, infusion, average, with semi-skimmed milk",PAC,7,0.6,0.2,0.1,0.7,0.7,0.0,0.018
17-155,"Coffee, infusion, average, with single cream",PAC,14,0.4,1.2,0.7,0.3,0.3,0.0,0.008
17-156,"Coffee, infusion, average, with whole milk",PAC,7,0.5,0.4,0.3,0.5,0.5,0.0,0.015
17-153,"Coffee, infusion, strong",PAC,2,0.2,0.0,0.0,0.3,0.0,0.0,0.002
17-154,"Coffee, infusion, weak",PAC,2,0.2,0.0,0.0,0.3,0.0,0.0,0.0
17-159,"Coffee, instant, made up with water",PAC,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17-161,"Coffee, instant, made up with water and semi-skimmed milk",PAC,7,0.6,0.2,0.1,0.7,0.7,0.0,0.02
17-160,"Coffee, instant, made up with water and whole milk",PAC,8,0.5,0.4,0.3,0.6,0.5,0.0,0.018
17-594,"Coffee, Irish",PAC,125,0.4,8.8,5.44,2.7,2.5,0.0,0.01
17-158,"Coffee, powder, instant",PAA,75,14.6,0.0,0.0,4.5,0.0,0.0,0.202
12-546,"Coffeemate, whitener powder",BAR,534,2.1,34.5,26.0,57.3,9.4,0.0,1.0
17-175,Cola,PCA,41,0.0,0.0,0.0,10.9,10.9,0.0,0.012
17-505,"Cola, diet",PCA,1,0.0,0.0,0.0,0.0,0.0,0.0,0.012
13-229,"Cole leaves, dried, boiled in unsalted water",DG,19,1.7,0.8,0.1,1.2,0.9,2.1,0.212
15-635,"Coleslaw, not low calorie, retail",DR,173,0.8,16.3,1.65,6.0,6.0,1.2,0.74
15-636,"Coleslaw, with reduced calorie dressing, retail",DR,110,0.9,9.1,0.73,6.5,6.5,1.6,0.492
16-429,"Coley, flesh only, baked",JA,111,24.4,1.5,0.27,0.0,0.0,0.0,0.23
16-430,"Coley, flesh only, grilled",JA,105,27.2,1.4,0.25,0.0,0.0,0.0,0.22
16-431,"Coley, flesh only, poached",JA,114,25.0,1.5,0.27,0.0,0.0,0.0,0.238
16-383,"Coley, flesh only, raw",JA,82,18.0,1.1,0.2,0.0,0.0,0.0,0.17
16-469,"Coley, flesh only, steamed",JA,105,23.0,1.4,0.25,0.0,0.0,0.0,0.218
